# Han-character frequency over the Kanripo corpus (Kanseki Repository, CC BY-SA 4.0).
# Generated by bin/sino_freq.rb on 2026-08-09 · 1.4.0
# 721813636 character tokens · 28368 distinct characters · 4571394 passages · docs = texts containing the character.
# Top 3000 rows carry Unihan kTotalStrokes/kMandarin and BabelStone IDS.
rank	char	count	docs	strokes	pinyin	ids
1	之	18351733	5090	3	zhī	⿱丶{100}
2	不	8988592	5096	4	bù	⿸丆⿰丨丶
3	以	8666213	5038	4	yǐ	⿽人⿰𠄌丶
4	也	7231252	4836	3	yě	⿻乜丨
5	而	7139604	5009	6	ér	⿱一𦓐
6	其	6296920	5013	8	qí	⿱{94}八
7	人	6255480	5100	2	rén	人
8	為	5812583	3628	9	wèi	⿽⿵⿸⿻丿𠃍⿱𠃍𠃌灬丶
9	有	5694658	5097	6	yǒu	⿸𠂇⺝
10	者	5209634	5024	8	zhě	⿱耂日
11	一	4928405	5103	1	yī	一
12	曰	4678922	4887	4	yuē	曰
13	子	4187613	5006	3	zǐ	⿻了一
14	於	3948532	5003	8	yú	⿰方仒
15	十	3789569	5043	2	shí	⿻一丨
16	大	3332961	5069	3	dà	⿻一人
17	所	3252760	5015	8	suǒ	⿰戶斤
18	丨	3163966	151	1	gǔn	丨
19	二	3150948	5039	2	èr	⿱一一
20	三	3128820	5097	3	sān	三
21	無	2966863	5019	12	wú	⿱{56}灬
22	中	2931802	5088	4	zhōng	⿻口丨
23	則	2880511	4809	9	zé	⿰貝刂
24	天	2871975	5091	4	tiān	⿱一大
25	年	2850815	4901	6	nián	⿱𠂉{48}
26	上	2760806	5104	3	shàng	⿱⺊一
27	下	2736945	5052	3	xià	⿱一卜
28	此	2627199	5040	6	cǐ	⿰止匕
29	王	2466532	4733	4	wáng	⿱一土
30	是	2412052	5006	9	shì	⿱日𤴓
31	書	2327321	4735	10	shū	⿱{82}日
32	公	2309955	4486	4	gōng	⿱八厶
33	自	2281602	5060	6	zì	⿱㇒目
34	事	2273308	4826	8	shì	⿻⿱𠮛{43}亅
35	可	2241958	4946	5	kě	⿹丁口
36	在	2189909	5022	6	zài	⿸{57}土
37	五	2186604	5054	4	wǔ	⿱一𫝀
38	日	2173704	5031	4	rì	⿴囗一
39	如	2164378	5028	6	rú	⿰女口
40	言	2162467	4912	7	yán	⿳亠二口
41	至	2144788	5015	6	zhì	⿱𠫔土
42	故	2112082	4840	9	gù	⿰古攵
43	四	2111250	5023	5	sì	⿴囗⿰丿㇄
44	山	2056654	4787	3	shān	⿶凵丨
45	得	2026367	5052	11	dé	⿰彳㝵
46	文	1986390	4852	4	wén	⿱亠乂
47	與	1985661	4966	13	yǔ	⿳⿴𦥑{23}一八
48	時	1977568	4991	10	shí	⿰日寺
49	行	1962455	5055	6	xíng	⿰彳亍
50	又	1905773	4765	2	yòu	又
51	月	1849225	4933	4	yuè	⿵⺆二
52	知	1841920	4872	8	zhī	⿰矢口
53	生	1825437	5080	5	shēng	⿰㇒龶
54	後	1788450	4935	9	hòu	⿰彳⿱幺夊
55	道	1753954	5063	12	dào	⿺辶首
56	州	1742923	3987	6	zhōu	⿻川{86}
57	南	1721631	4694	9	nán	⿱十⿵冂𢆉
58	見	1675574	4922	7	jiàn	⿱目儿
59	謂	1596730	4574	16	wèi	⿰訁胃
60	君	1592476	4880	7	jūn	⿸尹口
61	亦	1588447	4796	6	yì	⿱亠⿻⿰丿亅八
62	明	1557446	5034	8	míng	⿰日月
63	水	1551078	4831	4	shuǐ	⿰㇇𰛅
64	然	1545192	4991	12	rán	⿱⿰𱼀犬灬
65	相	1519546	4942	9	xiāng	⿰木目
66	皆	1499685	4918	9	jiē	⿱比白
67	東	1490498	4674	8	dōng	⿻木日
68	今	1489705	4870	4	jīn	⿱⿵𠆢丶乛
69	名	1472166	4959	6	míng	⿱夕口
70	國	1465922	4441	11	guó	⿴囗或
71	出	1462515	4918	5	chū	⿱屮凵
72	臣	1454984	4418	6	chén	⿷匚⿳丨{50}丨
73	百	1444478	4952	6	bǎi	⿱一白
74	未	1443516	4843	5	wèi	⿻一木
75	于	1442527	4185	3	yú	⿱一𬺰
76	矣	1436530	4626	7	yǐ	⿱厶矢
77	用	1434879	4793	5	yòng	⿵⺆𰀁
78	使	1433538	4826	8	shǐ	⿰亻吏
79	詩	1433212	3751	13	shī	⿰訁寺
80	太	1431429	4992	4	tài	⿵大丶
81	作	1425864	4805	7	zuò	⿰亻乍
82	何	1419796	4690	7	hé	⿰亻可
83	六	1414353	4989	4	liù	⿱亠八
84	官	1404117	4666	8	guān	⿱宀㠯
85	能	1395336	4883	10	néng	⿰䏍𫧇
86	西	1367441	4618	6	xī	⿱一𠁤
87	正	1363857	4914	5	zhèng	⿱一止
88	夫	1324512	4683	4	fū	⿻二人
89	地	1303329	4997	6	de dì	⿰土也
90	心	1278593	4991	4	xīn	⿰㇒⿻乚⿰丶丶
91	元	1270473	4927	4	yuán	⿱一兀
92	云	1262116	4499	4	yún	⿱二厶
93	成	1261732	4979	6	chéng	⿵戊𠃌
94	方	1259720	5012	4	fāng	⿱丶万
95	陽	1258865	4865	11	yáng	⿰阝昜
96	縣	1227525	3499	16	xiàn	⿰⿱{73}小系
97	同	1226451	4937	6	tóng	⿵冂𠮛
98	非	1225942	4850	8	fēi	⿰⿰三丨⿰丨三
99	氏	1221889	3889	4	shì	氏
100	士	1210818	4667	3	shì	⿻一丄
101	入	1199236	4955	2	rù	入
102	長	1181063	4984	8	zhǎng	⿱{76}{25}
103	及	1162139	4817	3	jí	及
104	九	1153759	4977	2	jiǔ	九
105	安	1150457	4831	6	ān	⿱宀女
106	當	1149528	4907	13	dāng	⿱𫩠田
107	先	1143594	4880	6	xiān	⿱𠂒儿
108	諸	1136326	4862	15	zhū	⿰訁者
109	風	1126106	4748	9	fēng	⿵𠘨䖝
110	帝	1120911	4658	9	dì	⿱{83}巾
111	禮	1119298	4347	17	lǐ	⿰礻豊
112	若	1119284	4907	8	ruò	⿱艹右
113	已	1100805	4594	3	yǐ	已
114	乃	1084197	4749	2	nǎi	⿹𠄎丿
115	將	1081458	4603	11	jiāng	⿰爿⿱𱼀寸
116	傳	1079700	4731	13	chuán	⿰亻專
117	萬	1057137	4986	12	wàn	⿱艹禺
118	北	1046618	4645	5	běi	⿰{45}匕
119	民	1041063	4192	5	mín	民
120	分	1039378	4851	4	fēn	⿱八刀
121	從	1037386	4828	11	cóng	⿰彳⿱从龰
122	平	1032814	4682	5	píng	⿻干丷
123	軍	1032259	3830	9	jūn	⿱冖車
124	七	1021901	4915	2	qī	〾⿻一乚
125	世	1021084	4843	5	shì	⿻廿𠃊
126	八	1020787	4908	2	bā	⿰丿㇏
127	城	1018586	4076	9	chéng	⿰土成
128	復	1017269	4757	12	fù	⿰彳复
129	前	1016287	4815	9	qián	⿱䒑⿰⺝刂
130	來	1014258	4835	8	lái	⿻木从
131	家	1008491	4650	10	jiā	⿱宀豕
132	本	972824	4836	5	běn	⿻木一
133	里	972180	4246	7	lǐ	⿻日土
134	學	959552	4597	16	xué	⿱𦥯子
135	門	958371	4783	8	mén	⿰𠁣𠃛
136	乎	957821	4374	5	hū	⿻𠂌丷
137	去	953289	4715	5	qù	⿱土厶
138	爲	950803	3174	12	wèi	⿱爫⿵⿰丿⿳𠃍𠃍𠃌灬
139	朝	949025	4587	12	cháo	⿰𠦝月
140	史	948630	3832	5	shǐ	⿻⿻口丿乀
141	必	947716	4611	5	bì	⿻心㇒
142	古	947064	4431	5	gǔ	⿱十口
143	小	945112	4669	3	xiǎo	⿲㇒亅丶
144	兵	940622	4092	7	bīng	⿱丘八
145	令	937891	4758	5	lìng	⿱⿵𠆢丶龴
146	多	937063	4669	6	duō	⿱夕夕
147	江	931044	4039	6	jiāng	⿰氵工
148	字	921692	4460	6	zì	⿱宀子
149	經	917569	4982	13	jīng	⿰糹巠
150	白	903458	4805	5	bái	⿱㇒日
151	外	895921	4795	5	wài	⿰夕卜
152	石	893140	4464	5	shí	⿸丆口
153	千	882246	4786	3	qiān	⿱㇒十
154	春	880996	4314	9	chūn	⿱𡗗日
155	義	880861	4268	13	yì	⿱𦍌我
156	金	878822	4878	8	jīn	⿱𠆢⿻王丷
157	即	878327	4573	7	jí	⿰{18}卩
158	欲	878297	4703	11	yù	⿰谷欠
159	歸	871757	4704	18	guī	⿰⿱𠂤止帚
160	主	868418	4684	5	zhǔ	⿱丶王
161	命	866682	4840	8	mìng	⿱{88}叩
162	數	866271	4671	15	shù	⿰婁攵
163	馬	864095	4371	10	mǎ	⿹{51}灬
164	武	859617	4184	8	wǔ	⿹{28}止
165	等	857129	4551	12	děng	⿱𥫗寺
166	師	853421	4641	10	shī	⿰𠂤帀
167	司	852655	4213	5	sī	⿹𠃌𠮛
168	神	849584	5015	9	shén	⿰礻申
169	周	843346	4587	8	zhōu	⿵⺆𠮷
170	宗	843152	4370	8	zōng	⿱宀示
171	内	838766	4765	4	nèi	⿻冂人
172	氣	830189	4726	10	qì	⿹气米
173	居	826618	4653	8	jū	⿸尸古
174	或	824288	4625	8	huò	⿹戈⿱口一
175	漢	823692	4076	14	hàn	⿰氵𦰩
176	我	819058	4536	7	wǒ	⿻⿱㇒扌{97}
177	治	813584	4242	8	zhì	⿰氵台
178	兩	810833	4576	8	liǎng	⿻丅⿵冂𠓜
179	法	809849	4907	8	fǎ	⿰氵去
180	志	807214	4500	7	zhì	⿱士心
181	河	807106	4309	8	hé	⿰氵可
182	物	791295	4770	8	wù	⿰牜勿
183	黄	781024	4464	11	huáng	⿳龷由八
184	重	777992	4750	9	zhòng	⿳㇒車一
185	通	776168	4911	10	tōng	⿺辶甬
186	立	769281	4779	5	lì	⿱亠䒑
187	聞	769218	4685	14	wén	⿵門耳
188	意	750246	4692	13	yì	⿱音心
189	初	748872	4540	7	chū	⿰衤刀
190	雲	747095	4516	12	yún	⿱雨云
191	樂	745169	4484	15	lè	⿱⿲幺白幺木
192	餘	735750	4492	15	yú	⿰飠余
193	服	733353	4335	8	fú	⿰月𠬝
194	侯	732063	3742	9	hóu	⿰亻⿱{14}矢
195	處	727884	4651	11	chù	⿸虍処
196	清	723388	4761	11	qīng	⿰氵青
197	進	719390	4377	11	jìn	⿺辶隹
198	定	714807	4753	8	dìng	⿱宀𤴓
199	間	711557	4741	12	jiān	⿵門日
200	聖	711498	4751	13	shèng	⿱𦔻王
201	秋	711219	4187	9	qiū	⿰禾火
202	府	708811	4203	8	fǔ	⿸广付
203	常	705543	4846	11	cháng	⿱龸吊
204	因	688625	4709	6	yīn	⿴囗大
205	守	688217	4480	6	shǒu	⿱宀寸
206	徳	684011	3398	14	dé	⿰彳⿳十罒心
207	雖	683533	4508	17	suī	⿰虽隹
208	和	683362	4760	8	hé	⿰禾口
209	髙	678577	3929	11	gāo	⿳亠{67}冋
210	過	676910	4731	11	guò	⿺辶咼
211	取	673086	4569	8	qǔ	⿰耳又
212	食	667289	4476	9	shí	⿱𠆢良
213	焉	666917	4376	11	yān	⿱正{1}
214	實	665097	4484	14	shí	⿱宀貫
215	應	664518	4774	17	yīng	⿸䧹心
216	張	660713	4292	11	zhāng	⿰弓長
217	李	659962	3820	7	lǐ	⿱木子
218	皇	658805	4321	9	huáng	⿱白王
