# Sumerian SIGN-occurrence frequency — ETCSL (literary Sumerian)
# Generated by bin/sign_seq.rb signs on 2026-07-31 · 1.3.0
# Pipeline: nabu export --format=plain --lang=sux --source=etcsl | nabu signs --json (OSL resolution)
# Passages: 36501 · tokens: 383873 · statuses: deterministic=351932 broken=19694 ambiguous=9152 unknown=2880 qualified=166 no-codepoint=49
# Counted statuses: deterministic, qualified, no-codepoint — ambiguous/unknown/broken excluded; every count is a floor.
# Determinatives count as occurrences of their sign.
rank	sign	glyph	count
1	AN	𒀭	15710
2	A	𒀀	12787
3	MU	𒈬	12243
4	NI	𒉌	9066
5	E	𒂊	8645
6	NA	𒈾	8187
7	BA	𒁀	7818
8	NE	𒉈	7696
9	RA	𒊏	7666
10	BI	𒁉	6725
11	EN	𒂗	6704
12	KI	𒆠	6661
13	GA	𒂵	6152
14	DA	𒁕	5851
15	KA	𒅗	5582
16	MA	𒈠	5092
17	ZU	𒍪	4355
18	ME	𒈨	4173
19	DU	𒁺	4170
20	IN	𒅔	4003
21	EŠ₂	𒂠	3741
22	NU	𒉡	3735
23	KALAM@g	𒌦	3704
24	NAM	𒉆	3690
25	IM	𒅎	3635
26	GAR	𒃻	3517
27	LA	𒆷	3439
28	RI	𒊑	3204
29	|A.AN|	𒀀𒀭	3160
30	GA₂	𒂷	3090
31	UD	𒌓	3055
32	GIŠ	𒄑	2999
33	AB	𒀊	2904
34	GAL	𒃲	2834
35	E₂	𒂍	2803
36	DIM₂	𒁶	2786
37	TA	𒋫	2775
38	ŠU	𒋗	2762
39	IGI	𒅆	2725
40	GI	𒄀	2670
41	SAG	𒊕	2556
42	ZI	𒍣	2535
43	KUR	𒆳	2456
44	LU₂	𒇽	2290
45	KID	𒆤	2256
46	IG	𒅅	2198
47	DI	𒁲	2102
48	MI	𒈪	2068
49	|SAL.TUG₂|	𒎏	2044
50	ŠA₃	𒊮	2024
51	|IGI.DIB|	𒅇	1889
52	LUGAL	𒈗	1849
53	ZA	𒍝	1848
54	IB	𒅁	1847
55	TUR	𒌉	1822
56	LAL	𒇲	1796
57	LI	𒇷	1796
58	KU₃	𒆬	1786
59	GI₄	𒄄	1655
60	SI	𒋛	1652
61	KU	𒆪	1574
62	HA	𒄩	1524
63	RU	𒊒	1484
64	UR	𒌨	1398
65	I	𒄿	1337
66	|U.U.U|	𒌍	1318
67	HU	𒄷	1302
68	TAR	𒋻	1249
69	AK	𒀝	1234
70	A₂	𒀉	1230
71	MAH	𒈤	1212
72	LU	𒇻	1190
73	|UD.DU|	𒌓𒁺	1179
74	HI	𒄭	1098
75	|HI×AŠ₂|	𒄯	1092
76	|U.GUD|	𒌌	1091
77	SAR	𒊬	1084
78	BU	𒁍	1072
79	GU₂	𒄘	1044
80	SUM	𒋧	1031
81	UŠ	𒍑	1019
82	NUN	𒉣	1007
83	URU	𒌷	992
84	PA	𒉺	970
85	ŠE	𒊺	969
86	MUŠ₃	𒈹	965
87	IL₂	𒅍	950
88	TE	𒋼	944
