# Sumerogram + determinative frequency in OB Akkadian — CDLI, Old Babylonian slice
# Generated by bin/akk_seq.rb on 2026-08-05 · 1.4.0
# OB slice: nabu lect list (akk:ob rulings, 30157 CDLI documents) ∩ nabu export --lang=akk --source=cdli
# Passages: 204820 · raw ATF spellings, never folded (sz/s,/t,); a separate base — never mixed with sux ranks (§9).
# Sumerograms upcased for display ({d} rows are determinatives); ATF dots kept (KU3.BABBAR).
rank	form	count
1	{d}	42258
2	IGI	15409
3	DUMU	15117
4	{disz}	10229
5	{ki}	6858
6	MU	6685
7	U4	6463
8	ITI	5745
9	A-SZA3	5380
10	E2	4925
11	KU3-BABBAR	4565
12	SZE	3643
13	GUR	3266
14	GIN2	3262
15	KI	3137
16	SILA3	2683
17	DUMU-MUNUS	2575
18	LU2	2449
19	LUGAL	2066
20	HI-A	1584
21	MA-NA	1504
22	{D}UTU	1464
23	SZU	1441
24	LUGAL-E	1383
25	SAR	1263
26	DA	1256
27	LUKUR	1237
28	UGULA	1185
29	DUMU-MESZ	1152
30	A-GAR3	1100
31	ERIN2	1021
32	SZA3	1014
33	DUB-SAR	996
34	SA10	943
35	SAG-BI	924
36	BAD3	833
37	UDU	769
38	I3-AG2-E	760
39	I7	755
40	GU4	745
41	X	735
42	BA-AN-TI	694
43	U3	689
44	E2-GAL	678
45	KISZIB3	647
46	I3-GESZ	639
47	GU2-UN	615
48	{GESZ}KIRI6	593
49	SZE-SAG11-KU5	586
50	TUG2	567
51	NIG2-SZU	557
52	GIRI3	535
53	N	514
54	NINDA	510
55	SAG	495
56	GAL	487
57	KISZIB	484
58	I3-LA2-E	477
59	KA2	469
60	GU2	452
61	DINGIR	440
62	MASZ2	433
63	LU2-MESZ	419
64	BURU14-SZE3	417
65	{GESZ}BAN2	414
66	DAM-GAR3	413
67	{gesz}	406
68	INIM	400
69	GEME2	391
70	IRI	391
71	U4-KUR2-SZE3	391
72	ZU2-LUM	391
73	{munus}	376
74	KASZ	371
75	DU3-A	369
76	HA-LA	367
77	SANGA	367
78	IN-NA-AN-LA2	353
79	IN-SZI-IN-SA10	350
80	TI-A	348
81	{GESZ}GU-ZA	347
82	MASZ2-BI	343
83	TIL-LA-BI-SZE3	340
84	ALAN	333
85	SZUKU	325
86	{i7}	320
87	MUNUS	315
88	ZI-GA	314
89	ZABAR	311
90	DI-KU5	301
91	SZE-GESZ-I3	301
92	SAG-GEME2	299
93	UDU-NITA2	297
94	KIN-{D}INANNA	291
95	SIKI	289
96	DUB	288
97	BARA2-ZA3-GAR	286
98	I3	282
99	LU2-RA	281
100	SIPA	279
101	GU4-SI-SA2	275
102	UDRU{DURU5}	275
103	{GESZ}TUKUL	271
104	SZU-NUMUN-A	262
105	INIM-BI	261
106	MU-KUX(DU)	259
107	AL-TIL	257
108	E3-A	257
109	SILA	257
110	IRI{KI}	255
111	ZI3-DA	255
112	UR5-RA	253
113	SZU-NIGIN2	250
114	N-KAM	248
115	DU6-KU3	247
116	SU	245
117	IN-PA3-DE3-MESZ	242
118	SIG4-A	241
119	{D}MARDUK	241
120	EZEM	237
121	ENSI2	235
122	MAR-TU	234
123	AB2	228
124	GIDRI	228
125	MESZ	228
126	IKU	225
127	US2	225
128	{GESZ}MA2	223
129	SZUNIGIN	222
130	DI-KU5-MESZ	203
131	SZESZ-A-NI	200
132	APIN-DU8-A	199
133	EN	198
134	KU3-BI	198
135	KISLAH	197
136	KU3	197
137	UZU	193
138	U8	188
139	{D}SUEN	187
140	ALAN-A-NI	186
141	SZU-I	185
142	IN-PA3	184
143	{D}ISZKUR	184
144	AGA-US2	182
145	AB-E3	181
146	MASZ2-SZU-GID2-GID2	181
147	KUR2-SZE3	180
148	DUMU-ME	179
149	EGIR	173
150	{iri}	173
151	DUG	172
152	SAG-NITA2	170
153	GUDU4	169
154	AL-DU10	168
155	NA4	168
156	KAR	167
157	KASKAL	165
158	NU-UM-GA2-GA2-A	164
159	MAH	162
160	SZESZ-NI	161
161	IB2-TA-BALA	160
162	GAL-UKKEN-NA	156
163	SZE-BA	156
164	TIL-LA-NI-SZE3	156
165	IN-SZI-SA10	155
166	DABIN	151
167	HAR	151
168	ANSZE	149
169	GESZ-GAN-NA	148
170	NA-GADA	148
171	GURUM2	147
172	A2	145
173	NIG2	144
174	KUSZ	143
175	DAM	141
176	US2-SA	141
177	{lu2}	140
178	SZA3-GAL	136
179	I3-SAG	135
180	AN	131
181	GIBIL	130
182	E2-DUB-BA-A	129
183	GESZ	127
184	SZA3-BA	127
185	IB2-RA	121
186	AB-SIN2	120
187	IN-NA-LA2	120
188	SZU-TI-A	120
189	ZI3	120
190	LU2-INIM-MA-BI-MESZ	119
191	MASZ-GAN2	119
192	SZU-NIR	119
193	ZIMBIR{KI}	118
194	GURUSZ	117
195	DUMU-NI	116
196	URUDA	115
197	E	112
198	SA10-AM3	112
199	SILA4	112
200	{D}NANNA	112
201	{D}EN-LIL2	110
202	NAM	109
203	NU-GA2-GA2-A	109
204	NU-{GESZ}KIRI6	108
205	GAN2-E	107
206	ERIN2-MESZ	104
207	GU-LA	104
208	IGI-6(DISZ)-GAL2	104
209	HUN-GA2	101
210	{D}INANNA	101
211	SZA3-GA-NI	100
212	SZAGINA	100
213	ZU2-KESZ2	99
214	KUR	97
215	UGU	97
216	IN-PA3-DE3-ESZ	96
217	KI-GAL2	96
218	LUGAL-BI	96
219	KA	95
220	IB2-TA-E3-A	93
221	MA2	93
222	BA-AN-TI-MESZ	92
223	LA2	92
224	SZA3-GA-A-NI	92
225	SZU-KU6	92
226	{URUDA}KI-LUGAL-GUB	92
227	NIG2-GUB	91
228	ZI3-GU	91
229	NU-BANDA3	90
230	IGI-4(DISZ)-GAL2	89
231	SZITIM	89
232	DISZ	88
233	GAL-GAL-LA	88
234	MU-NI	88
235	ZA3	88
236	{kusz}	88
237	BA-ZAL	87
238	GAR	87
239	KUSZ3	87
240	GU-ZA	86
241	{NA4}KISZIB3	86
242	ABUL	85
243	AGA-US2-MESZ	85
244	KI-LA2-BI	85
245	RA2-GABA	85
246	ZIZ2	84
247	IBILA	83
248	{D}LAMMA	83
249	BARA2	82
250	NUMUN	82
251	SUKKAL	82
252	U4-BURU14-SZE3	82
253	{GESZ}GESZIMMAR	82
254	HUR-SAG	81
255	GALA-MAH	80
256	I3-BA	80
257	SI-LA2	80
258	SZE-NUMUN	80
259	DAGAL-LA	79
260	SZA3-TAM	79
261	KALAM	78
262	SAMAG	78
263	{GI}PISAN	78
264	LUGAL-MESZ	77
265	{GESZ}BA-RI2-GA	77
266	DAM-A-NI	76
267	GU4-HI-A	76
268	KUN8	76
269	MU-NI-IM	76
270	NIG2-GUR11	76
271	SA2-DU11	76
272	SZESZ	76
273	U8-UDU-HI-A	76
274	UGNIM	76
275	{D}EN-LIL2-LA2	76
276	{GESZ}APIN	76
277	MU-UN-DU3-A	74
278	NAR	74
279	SISKUR2-RE	74
