# Akkadian syllabic-value frequency — CDLI, Old Babylonian slice
# Generated by bin/akk_seq.rb on 2026-08-05 · 1.4.0
# OB slice: nabu lect list (akk:ob rulings, 30157 CDLI documents) ∩ nabu export --lang=akk --source=cdli
# Passages: 204820 · raw ATF spellings, never folded (sz/s,/t,); a separate base — never mixed with sux ranks (§9).
# Syllabic values only: Sumerograms and determinatives tallied separately (sumerogram-freq-akkob.tsv).
rank	value	count
1	a	51677
2	na	43915
3	ma	39265
4	i	33397
5	sza	25098
6	szu	23786
7	am	16966
8	ni	16580
9	um	15174
10	li	14638
11	nu	14560
12	im	14542
13	u2	14483
14	u3	13609
15	ta	13059
16	ri	12802
17	ba	12688
18	ra	12560
19	bi	12484
20	la	11681
21	utu	10911
22	ti	10339
23	ka	10219
24	suen	9583
25	mu	9147
26	ia	9120
27	ki	9057
28	an	9030
29	li2	8929
30	e	8709
31	tum	8192
32	szi	7934
33	mi	7851
34	di	7782
35	isz	7661
36	ha	7410
37	lu	7218
38	bu	7178
39	ku	6886
40	tim	6564
41	da	6326
42	asz	6309
43	tu	6090
44	ru	5953
45	at	5519
46	be	5289
47	i3	5223
48	pa	5202
49	qi2	5167
50	pi2	5054
51	al	5048
52	ib	4865
53	dingir	4511
54	ar	4488
55	du	4402
56	szum	4281
57	ul	4132
58	it	4110
59	hu	4060
60	in	4038
61	sze	4029
62	pu	3985
63	me	3977
64	il	3949
65	hi	3882
66	ir	3670
67	nam	3319
68	iszkur	3266
69	wi	3204
70	din	3129
71	er	3128
72	qa2	3055
73	wa	3004
74	ab	2833
75	marduk	2829
76	zi	2810
77	sin	2779
78	su	2778
79	ah	2771
80	ak	2749
81	el	2715
82	bi2	2711
83	sa	2709
84	ga	2641
85	s,a	2571
86	re	2535
87	te	2532
88	s,i	2479
89	arad	2466
90	ur	2356
91	usz	2335
92	su2	2317
93	nim	2302
94	nin	2276
95	lum	2274
96	ad	2252
97	lim	2241
98	ip	2235
99	za	2131
100	en	2017
101	id	2008
102	ap	2000
103	rum	1964
104	qu2	1900
105	tam	1889
106	si	1880
107	iq	1850
108	mar	1822
109	ik	1798
110	dumu	1769
111	zu	1740
112	lam	1697
113	e2	1688
114	sa3	1668
115	gi	1618
116	ub	1588
117	szar	1488
118	ur2	1465
119	le	1464
120	s,i2	1433
121	s,e	1353
122	lil2	1329
123	kum	1327
124	un	1292
125	t,u2	1276
126	si2	1269
127	qa	1215
128	nanna	1196
129	s,u2	1181
130	em	1177
131	it,	1156
132	ut	1150
133	gu	1097
134	tar2	1091
135	lu2	1044
136	isz8	1024
137	aq	1000
138	mil	951
139	kam	935
140	pi4	908
141	gur	899
142	szubur	876
143	uh	867
144	is,	852
145	dam	848
146	t,e4	836
147	esz18	830
148	dar	822
149	u	811
150	szum2	808
151	is	801
152	ne	798
153	blank	789
154	zimbir	788
155	space	784
156	qar	780
157	sig	750
158	pi	743
159	t,a3	741
160	s,ir	738
161	tup	726
162	gan	722
163	u4	685
164	at,	678
165	pil	671
166	ne2	660
167	arad2	656
168	ud	627
