# Sumerian transliteration-value frequency — CDLI (documentary, admin-heavy)
# Generated by bin/sign_seq.rb on 2026-07-29 · 1.3.0
# Command: nabu export --format=plain --lang=sux --source=cdli
# Passages: 1548658 · distinct values: 4340 · top 500 kept
# Values are corpus-convention spellings (ATF: sz=š); never merged across corpora.
rank	value	count
1	disz	526454
2	d	254507
3	a	201261
4	ki	188673
5	ba	176719
6	u	165343
7	mu	161847
8	asz	140365
9	c	136018
10	na	106171
11	sila3	105622
12	ur	104182
13	ta	100735
14	ban2	96297
15	lugal	95639
16	ga	84165
17	lu2	79923
18	da	77531
19	i3	76453
20	barig	75799
21	ma	73496
22	szu	72278
23	dumu	70760
24	ra	69618
25	sze	68076
26	gin2	66769
27	iti	64286
28	e2	63304
29	bi	60840
30	gesz	58778
31	en	58777
32	ni	57146
33	gur	56990
34	u4	55955
35	sze3	55780
36	la	51680
37	e	51491
38	sza3	51321
39	gesz2	50827
40	nin	50478
41	an	50188
42	la2	49763
43	udu	48479
44	zi	46413
45	kam	45784
46	nu	38684
47	du	37767
48	kasz	37621
49	gal	37298
50	gi	37150
51	szunigin	36193
52	sar	35892
53	ka	34805
54	gu4	34803
55	ninda	34489
56	ti	33985
57	me	32921
58	dub	32696
59	kiszib3	30809
60	suen	30415
61	sa	30225
62	us2	29920
63	ku3	28769
64	nig2	28626
65	kal	28506
66	ab	26544
67	zu	24463
68	sag	24340
69	masz2	23647
70	gan2	23578
71	hul	23530
72	si	23477
73	du3	22934
74	gurusz	22822
75	su	22796
76	szum2	22767
77	sa6	22517
78	gu	22433
79	lil2	22357
80	giri3	21925
81	a2	21740
82	u2	21443
83	u3	20386
84	igi	20262
85	ga2	20155
86	iku	20114
87	ugula	19790
88	t	19662
89	niga	19458
90	tug2	19453
91	in	19268
92	ke4	19215
93	um	19158
94	ne	19155
95	bi2	18933
96	mah	18907
97	za	18689
98	gu2	18591
99	sila4	18455
100	ezem	18157
101	ma2	18097
102	nam	17640
103	gal2	17422
104	dingir	17164
105	e3	17109
106	szul	16893
107	dab5	16696
108	sza	16622
109	naga	16122
110	bar	16080
111	gar	15956
112	masz	15920
113	ru	15898
114	hu	15657
115	ensi2	15349
116	szara2	14966
117	amar	14845
118	ha	14709
119	am3	14705
120	i	14286
121	zi3	14261
122	tu	14078
123	gi4	13939
124	im	13914
125	du11	13771
126	li2	13645
127	ri	13347
128	saga	13077
129	ba6	13031
130	lum	13027
131	nanna	12966
132	arad2	12896
133	du10	12845
134	geme2	12839
135	gir2	12615
136	hun	12554
137	pa	12202
138	siki	11778
139	ra2	11580
140	ku5	11396
141	szesz	11353
142	al	11284
143	inanna	11180
144	nun	11126
145	dam	10873
146	gub	10834
147	kux	10779
148	uri5	10541
149	du8	10419
150	sa2	9856
151	gesz'u	9793
152	utu	9788
153	he2	9698
154	lu	9556
155	bala	9487
156	kusz	9411
157	ak	9388
158	re	9311
159	bur3	9226
160	ab2	9160
161	de3	9139
162	li	9136
163	hi	9131
164	inim	9114
165	ku6	9102
166	esze3	9079
167	munus	9067
168	banda3	9061
169	gu7	8924
170	tum	8881
171	mar	8728
172	tur	8687
173	kur	8442
174	bu	8245
175	mi	8217
176	ia3	8150
177	szi	7947
178	gid2	7946
179	iri	7940
180	usz	7789
181	u8	7709
182	sukkal	7580
183	engar	7523
184	dug	7497
185	bad3	7480
186	ku	7433
187	un	7211
188	kin	7080
189	babbar	7050
190	de2	6818
191	muszen	6788
192	il2	6664
193	nita2	6609
194	ur2	6567
195	zal	6524
196	usz2	6515
197	pa3	6392
198	lagasz	6360
199	ag2	6197
200	nigar	6170
201	du7	6096
202	ge	5982
203	ansze	5974
204	mes	5885
205	ud5	5841
206	gu3	5758
207	am	5757
208	nita	5755
209	sag11	5725
210	ad	5716
211	maszkim	5684
212	numun	5672
213	ub	5614
214	gaba	5606
215	id	5539
216	i7	5511
217	iszkur	5491
218	dim2	5428
219	sipa	5384
220	puzur4	5369
221	esz	5280
222	dar	5274
223	di	5267
224	zu2	5240
225	be2	5224
226	dabin	5206
227	nansze	5206
228	gar3	5172
229	gin7	5162
230	gan	5159
231	erin2	5139
232	umma	4965
233	nigin2	4923
234	lu5	4912
235	kar	4895
236	esz3	4840
237	ig	4834
238	szubur	4831
