# Sumerian transliteration-value frequency — ETCSL (literary Sumerian)
# Generated by bin/sign_seq.rb on 2026-07-29 · 1.3.0
# Command: nabu export --format=plain --lang=sux --source=etcsl
# Passages: 36501 · distinct values: 1697 · top 500 kept
# Values are corpus-convention spellings (c=š, j=ŋ); never merged across corpora.
rank	value	count
1	a	12795
2	mu	9021
3	e	8617
4	na	8188
5	d	8043
6	ba	7807
7	ra	7668
8	an	6772
9	en	6651
10	ki	6604
11	ni	6558
12	ga	6005
13	da	5857
14	bi	5578
15	ma	5080
16	zu	4316
17	me	4133
18	in	3983
19	nu	3737
20	nam	3611
21	la	3426
22	un	3234
23	ju10	3221
24	ce3	3200
25	am3	3099
26	ne	3090
27	im	2952
28	jic	2948
29	gal	2836
30	e2	2807
31	ta	2772
32	cu	2771
33	ja2	2596
34	ab	2565
35	he2	2557
36	saj	2550
37	ka	2491
38	gin7	2423
39	de3	2330
40	lu2	2295
41	ke4	2209
42	ud	2179
43	kur	2173
44	nin	2013
45	jal2	1996
46	re	1976
47	cag4	1957
48	u3	1890
49	bi2	1848
50	za	1835
51	lugal	1811
52	la2	1787
53	nij2	1776
54	kug	1745
55	dug4	1694
56	lil2	1659
57	i3	1654
58	gi4	1599
59	jar	1544
60	mi	1520
61	si	1510
62	igi	1465
63	i	1351
64	ec	1310
65	ib	1281
66	zid	1253
67	ge	1250
68	du	1211
69	mah	1208
70	ci	1189
71	ha	1181
72	ak	1176
73	ur	1173
74	a2	1125
75	e3	1066
76	gi	1055
77	dumu	1050
78	di	1030
79	ru	1024
80	gu2	1020
81	gub	1020
82	lu	984
83	ce	949
84	be2	947
85	ri	925
86	bar	916
87	kam	912
88	dijir	904
89	sa2	888
90	inim	875
91	zi	860
92	nun	852
93	u2	848
94	al	839
95	ni2	839
96	iri	826
97	tar	803
98	aj2	798
99	dug3	784
100	um	768
101	du3	767
102	tuku	755
103	li	741
104	le	740
105	il2	732
106	su	729
107	te	722
108	inana	721
109	hu	712
110	ib2	711
111	sag9	698
112	du8	679
113	bal	676
114	cum2	657
115	gu3	656
116	ca	637
117	de2	635
118	gu7	627
119	ama	612
120	dam	603
121	mucen	586
122	jen	581
123	du7	579
124	ac	564
125	hur	562
126	kalam	557
127	sa	555
128	pad3	544
129	gu	540
130	em	530
131	pa	516
132	ul	513
133	tur	512
134	nu2	503
135	dab5	502
136	til3	502
137	jiri3	478
138	gig	476
139	ze2	474
140	gul	472
141	id2	472
142	uj3	472
143	hul2	471
144	us2	469
145	zag	469
146	mu2	465
147	ra2	448
148	utu	448
149	cub	445
150	kij2	443
151	je26	442
152	bu	434
153	zal	431
154	ma2	430
155	cul	427
156	suen	427
157	gud	423
158	uc	421
159	tuc	413
160	de6	411
161	ti	410
162	sar	402
163	nir	400
164	ur2	399
165	hi	398
166	tum2	397
167	hul	396
168	tud	392
169	na4	391
170	dub	388
171	zig3	386
172	gid2	384
173	su3	379
174	tag	379
175	ub	379
176	sikil	374
177	sipad	374
178	ku4	372
179	sig10	363
180	kal	357
181	am	349
182	tug2	349
183	kur2	346
184	mi2	346
185	urta	346
186	dim2	342
187	gaba	339
188	ku6	332
189	er	328
190	ne2	328
191	en3	322
192	car2	321
193	dirig	321
194	ku	320
195	tu	317
196	sud	312
197	ec2	306
198	barag	305
199	nanna	305
200	ji6	301
201	ec3	300
202	ur3	300
203	sag3	292
204	cec	286
205	gin3	286
206	munus	283
207	kur9	280
208	kar	276
209	erim2	270
210	dajal	269
211	ed3	266
212	giri17	264
213	dur2	263
214	edin	262
215	gur	262
216	ur5	261
217	cu2	257
218	ad	255
219	kud	255
220	ir	253
221	kalag	251
222	u5	248
223	abzu	245
224	er2	242
225	gen6	241
226	u8	241
227	dib	240
228	dili	239
229	jectug2	237
230	kece2	230
231	nin9	229
232	til	225
233	huc	224
234	tec2	224
235	de5	223
236	me3	223
237	jir2	218
238	lum	217
239	zu2	216
240	luh	210
241	mar	209
242	kuc	208
243	uru2	208
244	babbar	207
245	ic	206
246	sig7	203
247	muc3	202
248	mac2	201
249	mac	198
250	sig9	198
251	lul	197
252	tum3	197
253	udu	197
254	ca4	193
255	ulu3	193
256	tur3	190
257	amac	189
258	cir3	189
259	tukul	189
260	ab2	184
261	bur2	183
262	tah	183
263	tab	182
264	ugu	182
265	pirij	179
266	unug	179
267	urim2	179
268	gan	178
269	mul	178
270	u18	178
271	muc	177
272	ninda	176
273	sig	176
274	bad3	175
275	har	174
276	kar2	172
277	nibru	172
278	nijin2	172
279	sahar	172
280	silim	170
281	dar	168
282	du6	168
283	dub2	168
284	za3	166
285	lam	164
286	kuc2	163
287	lal3	163
288	ig	162
289	gig2	160
290	ance	155
291	ban3	155
292	eb	155
293	naj	155
294	nim	154
295	amar	151
296	kul	150
297	urud	150
298	gun3	148
